BeltAmpere_belt1,BeltAmpere_belt1_qc,BeltAmpere_belt2,BeltAmpere_belt2_qc,BeltAmpere_belt3,BeltAmpere_belt3_qc,Cumulative_LIN_flow,Cumulative_LIN_flow_qc,Cumulative_product_flow,Cumulative_product_flow_qc,FanAmpere_exhaust1,FanAmpere_exhaust1_qc,FanAmpere_exhaust2,FanAmpere_exhaust2_qc,FanAmpere_side,FanAmpere_side_qc,FanAmpere_top,FanAmpere_top_qc,Fanspeed_exhaust1,Fanspeed_exhaust1_qc,Fanspeed_exhaust2,Fanspeed_exhaust2_qc,Fanspeed_side,Fanspeed_side_qc,Fanspeed_top,Fanspeed_top_qc,LIN_flow,LIN_flow_qc,Product_flow,Product_flow_qc,ResidenceTime_belt1,ResidenceTime_belt1_qc,ResidenceTime_belt2,ResidenceTime_belt2_qc,ResidenceTime_belt3,ResidenceTime_belt3_qc,Temp_exhaust_in,Temp_exhaust_in_qc,Temp_exhaust_out,Temp_exhaust_out_qc,Temp_product_in,Temp_product_in_qc,Temp_product_out,Temp_product_out_qc,Temp_tunnel_measured,Temp_tunnel_measured_qc,Temp_tunnel_set,Temp_tunnel_set_qc,Vanne_opening_rate,Vanne_opening_rate_qc,_time
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:47:32.764Z"
0.0024414062,0,0.0024414062,0,0.0030517578,0,388510,0,210730,0,3.0631013,0,3.5475068,0,0,0,0,0,100,0,100,0,0,0,0,0,221.20633,0,1.1753991e-34,0,0,0,0,0,0,0,13.8,0,13.4,0,0,0,0,0,11.9,0,0,0,0,0,"2020-09-16T00:48:32.810Z"
0.0024414062,0,0.0024414062,0,0.0030517578,0,388513,0,210730,0,3.0194612,0,3.5649629,0,0,0,0,0,100,0,100,0,0,0,0,0,205.68903,0,1.1753991e-34,0,0,0,0,0,0,0,13.7,0,13.3,0,0,0,0,0,11.8,0,0,0,0,0,"2020-09-16T00:49:32.792Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:50:32.803Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388521,0,210730,0,3.020334,0,3.5296142,0,0,0,0,0,100,0,100,0,0,0,0,0,212.56526,0,1.1753991e-34,0,0,0,0,0,0,0,13.5,0,13.1,0,0,0,0,0,11.7,0,0,0,0,0,"2020-09-16T00:51:32.786Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:52:32.759Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388528,0,210730,0,3.0347352,0,3.5278687,0,0,0,0,0,100,0,100,0,0,0,0,0,205.11229,0,1.1753991e-34,0,0,0,0,0,0,0,13.5,0,13.2,0,0,0,0,0,11.6,0,0,0,0,0,"2020-09-16T00:53:32.795Z"
0.0024414062,0,0.0024414062,0,0.0030517578,0,388531,0,210730,0,3.0469544,0,3.547943,0,0,0,0,0,100,0,100,0,0,0,0,0,189.7926,0,1.1753991e-34,0,0,0,0,0,0,0,13.5,0,13.2,0,0,0,0,0,11.6,0,0,0,0,0,"2020-09-16T00:54:32.837Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:55:32.769Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388537,0,210730,0,3.0517547,0,3.526123,0,0,0,0,0,100,0,100,0,0,0,0,0,184.3442,0,1.1753991e-34,0,0,0,0,0,0,0,13.5,0,13.2,0,0,0,0,0,11.6,0,0,0,0,0,"2020-09-16T00:56:32.792Z"
